time (s),input (us),force (lb)
0.764,1650,2.83
0.766,1650,2.90
0.768,1650,2.83
0.770,1650,2.61
0.772,1650,2.72
0.774,1650,2.29
0.776,1850,2.40
0.778,1850,2.29
0.780,1850,2.26
0.782,1850,2.26
0.784,1850,2.01
0.786,1850,1.97
0.788,1850,2.97
0.790,1850,4.72
0.792,1850,6.82
0.794,1850,9.68
0.796,1850,11.64
0.798,1850,12.86
0.800,1850,12.36
0.802,1850,11.75
0.804,1850,10.50
0.806,1850,9.46
0.808,1850,8.29
0.810,1850,7.79
0.812,1850,7.47
0.814,1850,5.36
0.816,1850,5.04
0.818,1850,6.11
0.820,1850,6.15
0.822,1850,7.36
0.824,1850,9.18
0.826,1850,9.89
0.828,1850,8.89
0.830,1850,9.96
0.832,1850,9.68
0.834,1850,9.21
0.836,1850,8.82
0.838,1850,10.46
0.840,1850,7.72
0.842,1850,6.75
0.844,1850,8.25
0.846,1850,8.04
0.848,1850,7.61
0.850,1850,8.97
0.852,1850,9.71
0.854,1850,8.72
0.856,1850,8.22
0.858,1850,10.14
0.860,1850,8.07
0.862,1850,7.29
0.864,1850,9.43
0.866,1850,8.54
0.868,1850,7.54
0.870,1850,8.72
0.872,1850,8.54
0.874,1850,7.29
0.876,1850,7.50
0.878,1850,10.29
0.880,1850,8.39
0.882,1850,9.04
0.884,1850,10.79
0.886,1850,8.50
0.888,1850,8.72
0.890,1850,9.43
0.892,1850,9.14
0.894,1850,7.50
0.896,1850,8.07
0.898,1850,8.89
0.900,1850,6.36
0.902,1850,7.61
0.904,1850,8.79
0.906,1850,7.79
0.908,1850,8.18
0.910,1850,9.54
0.912,1850,9.32
0.914,1850,7.61
0.916,1850,9.61
0.918,1850,10.25
0.920,1850,8.36
0.922,1850,10.14
0.924,1850,10.25
0.926,1850,8.57
0.928,1850,8.61
0.930,1850,9.39
0.932,1850,8.14
0.934,1850,6.36
0.936,1850,8.43
0.938,1850,7.64
0.940,1850,6.22
0.942,1850,9.21
0.944,1850,9.57
0.946,1850,9.21
0.948,1850,10.11
0.950,1650,11.14
0.952,1650,9.79
0.954,1650,8.64
0.956,1650,10.39
0.958,1650,8.36
0.960,1650,7.00
0.962,1650,8.36
0.964,1650,5.93
0.966,1650,3.29
0.968,1650,1.43
0.970,1650,-0.31
0.972,1650,-2.10
0.974,1650,-2.21
0.976,1650,0.33
0.978,1650,3.22
0.980,1650,3.97
0.982,1650,5.04
0.984,1650,4.75
0.986,1650,2.58
0.988,1650,2.86
0.990,1650,3.43
0.992,1650,3.75
0.994,1650,3.47
0.996,1650,4.18
0.998,1650,3.40
1.000,1650,2.26
1.002,1650,2.33
1.004,1650,1.61
1.006,1650,1.08
1.008,1650,1.36
1.010,1650,2.76
1.012,1650,2.93
1.014,1650,3.93
1.016,1650,4.11
1.018,1650,3.29
1.020,1650,1.76
1.022,1650,1.51
1.024,1650,1.65
1.026,1650,2.26
1.028,1650,2.47
1.030,1650,2.51
1.032,1650,2.47
1.034,1650,2.08
1.036,1650,2.51
1.038,1650,2.76
1.040,1650,3.86
1.042,1650,3.79
1.044,1650,3.90
1.046,1650,3.08
1.048,1650,2.40
1.050,1650,2.51
1.052,1650,2.15
1.054,1650,1.83
1.056,1650,1.76
1.058,1650,1.76
1.060,1650,1.58
1.062,1650,1.72
1.064,1650,1.36
1.066,1650,1.76
1.068,1650,2.04
1.070,1650,2.08
1.072,1650,2.83
1.074,1650,3.15
1.076,1650,3.90
1.078,1650,3.83
1.080,1650,3.93
1.082,1650,3.01
1.084,1650,3.01
1.086,1650,2.18
1.088,1650,1.90
1.090,1650,1.51
1.092,1650,1.54
1.094,1650,1.43
1.096,1850,1.65
1.098,1850,1.68
1.100,1850,1.61
1.102,1850,1.97
1.104,1850,2.36
1.106,1850,2.54
1.108,1850,4.29
1.110,1850,5.86
1.112,1850,7.82
1.114,1850,10.43
1.116,1850,11.75
1.118,1850,12.78
1.120,1850,12.11
1.122,1850,10.68
1.124,1850,8.79
1.126,1850,7.89
1.128,1850,7.11
1.130,1850,6.72
1.132,1850,7.11
1.134,1850,5.57
1.136,1850,5.47
1.138,1850,7.57
1.140,1850,7.07
1.142,1850,8.25
1.144,1850,9.57
1.146,1850,9.46
1.148,1850,9.00
1.150,1850,9.21
1.152,1850,9.79
1.154,1850,9.29
1.156,1850,8.72
1.158,1850,9.43
1.160,1850,6.79
1.162,1850,6.57
1.164,1850,8.29
1.166,1850,8.57
1.168,1850,8.50
1.170,1850,9.68
1.172,1850,9.93
1.174,1850,8.61
1.176,1850,8.11
1.178,1850,9.32
1.180,1850,7.47
1.182,1850,7.97
1.184,1850,9.14
1.186,1850,7.75
1.188,1850,6.65
1.190,1850,7.75
1.192,1850,8.61
1.194,1850,7.61
1.196,1850,9.21
1.198,1850,11.14
1.200,1850,8.82
1.202,1850,9.36
1.204,1850,10.11
1.206,1850,8.43
1.208,1850,8.50
1.210,1850,9.68
1.212,1850,9.00
1.214,1850,7.29
1.216,1850,7.82
1.218,1850,8.18
1.220,1850,6.57
1.222,1850,8.25
